street,zip_code
Улица Александра Ключарева,420055
Улица Александра Курынова,420083
Улица Александра Пархоменко,420004
Улица Александра Попова,420029
Улица Алексея Козина,421001
Алеутская улица,420076
Улица Алишера Навои,420085
Улица Алмагач,420088
Улица Алмалы,420070
Улица Алматау,420088
Улица Алмачуар,420129
Улица Алсу,420083
Улица Алтын Балык,420079
Улица Алтынова,420076
Альметьевская улица,420056
Улица Альпинистов,420105
Улица Альфреда Халикова,420021
Улица Амет-Хана Султана,420140
Аметьевская улица,420105
Аметьевский переулок,420105
Улица Амирхана Еники,420097
Анадырская улица,420056
Улица Анвара Каримова,420039
Улица Андрея Адо,420064
Апастовская улица,420094
Апрельская улица,420047
Аракчинская улица,420030
Аракчинская 2-я улица,420030
Улица Аракчинское Шоссе,420079
Арбатская улица,420047
Улица Аргамак,420140
Армавирская 1-я улица,420047
Армавирская 3-я улица,420047
Переулок Армут,420140
Арская улица,420075
Арский переулок,420075
Артельная улица,420101
Артиллерийская улица,420088
Архангельская улица,420030
Архангельский переулок,420030
Астрономическая улица,420111
Улица Асылъяр,420075
Атнинская улица,420129
Переулок Аулак,420076
Улица Аулак,420076
Ачинская улица,420054
Ашхабадский переулок,420036
Улица Аяз,420088
Улица Бабушкина,420032
Бавлинская улица,420047
Улица Багратиона,420047
Переулок Бадаева,420091
Переулок Бадаева 2-я,420091
Бадаева 2-я улица,420091
Базарная улица,420032
Улица Байрам,420096
Бакалейная улица,420095
Улица Баки Урманче,420064
Улица Бакчалы,420139
Улица Балакирева,420047
Переулок Баланлык,420140
Улица Балачак,420129
Балашовская улица,420054
Балканская улица,420055
Улица Баллы,420088
Балтасинская улица,420047
Улица Бари Галеева,420061
Барнаульская улица,420059
Бастионная улица,420140
Батумская улица,420047
Улица Батурина,420111
Улица Батырлык,420140
Улица Баумана,420111
Улица Бахтизина,420140
Башкирская улица,420054
Беговая улица,420029
Безымянный переулок,420054
Улица Белинского,420036
Беловежская улица,420083
Белогорская улица,420056
Белозерская улица,420083
Белокаменная улица,420083
Белорусская улица,420054
Белостокская улица,420101
Улица Берег реки Казанки,420032
Улица Береговая (Старое Победилово),420005
Улица Березка,420056
Березниковская 1-я улица,420055
Березниковская 2-я улица,420055
Улица Березовая (Лесной городок),420064
Улица Березовая (Малые Дербышки),420096
Улица Березовая (Петровский),420070
Улица Березовая (Щербаково),420099
Улица Березовая Роща,420005
Березовый переулок,420079
Переулок Беркутова,420083
Улица Беркутова (Константиновка),420083
Берсутская улица,420078
Улица Бехтерева,420111
Билярская улица,420094
Бирюзовая улица,420078
Бирюзовый переулок,420077
Улица Бирюсовая (Константиновка),420083
Улица Бирюсовая (Новая Сосновка),420056
Улица Бишек (Вознесенье),420140
Благодатная улица,420064
Блестящий переулок,420064
Блочная улица,420127
Улица Блюхера,420095
Богатырская улица,420078
Бодрая улица,420054
Боевая улица,420030
Бойничная улица,420043
Переулок Боковой (Вознесенье),420140
Улица Болгар,420108
Болгарская улица,420076
Улица Болотникова,420033
Улица Болынлык (Кульсеитово),420096
Больничная улица,420078
Большая улица,420030
Большая 2-я улица,420098
Большая Заречная улица,420098
Улица Большая Крыловка,420034
Улица Большая Мухаметшина,420033
Большая Осенняя улица,420056
Большая Шоссейная улица,420039
Бондюжская улица,420081
Борисковская улица,420054
Улица Бородина,420032
Братская улица,420105
Улица Братьев Петряевых,420021
Улица Брусничная (Красно-октябрьское лесн-во),420051
Улица Брусничная (Лесной городок),420064
Улица Брюсова,420030
Брянская улица,420101
Бугринская улица,420032
Бульварная улица,420055
Улица Буляк (Красно-октярьское лесн-во),420051
Улица Бутлерова,420012
Бутырская улица,420059
Бутырский переулок,420059
Бухарская улица,420087
Улица Бэйге (Кульсеитово),420096
Вагонная улица,420079
Улица Валентина Котика,420091
Варшавская улица,420076
Варшавский переулок,420076
Улица Васильковая (Салмачи),420129
Улица Васильченко,420095
Улица Васнецова,420047
Улица Ватутина,420021
Площадь Вахитова,420021
Улица Вениамина Григорьева,420141
Вербная улица,420140
Улица Верещагина,420037
Улица Верная (Вознесенское),420140
Улица Вероники Тушновой,420129
Переулок Верхний 1-й (Киндери),420075
Переулок Верхний 2-й (Киндери),420075
Улица Верхняя (Киндери),420075
Верхняя 1-я улица,420053
Верхняя 2-я улица,420053
Улица Веселая (Салмачи),420129
Весенняя улица,420055
Ветеринарная улица,420097
Ветровая улица,420078
Улица Виктора Деринга,420064
Улица Виктора Сажинова,420076
Улица Вильямса,420047
Улица Виталия Синицына,420055
Витебская улица,420054
Вишневая улица,420055
Улица Вишневая (Борисоглебское),420098
Улица Вишневая (Вознесенское),420140
Улица Вишневая (Константиновка),420083
Улица Вишневая (Новая Сосновка),420056
Улица Вишневый Сад,420096
Улица Владимира Кулагина,420054
Внешняя улица,420032
Улица Водников (Новое Аракчино),420079
Улица Водстрой (Киндери),420075
Военная улица,420030
Городок Военный 2,420059
Городок Военный 32,420079
Городок Военный 33,420059
Возвышенная улица,420053
Улица Вознесенская (Вознесенское),420140
Волгодонская улица,420047
Волжская улица,420005
Улица Волкова,420012
Улица Волкова (Аки),420075
Волнистая улица,420108
Вологодская улица,420037
Волховская улица,420047
Вольная 1-я улица,420034
Вольная 2-я улица,420034
Вольская 1-я улица,420053
Вольская 2-я улица,420053
Воркутинская улица,420078
Улица Воронихина,420047
Воскресенская улица,420054
Восточная улица,420030
Выборгская улица,420006
Выборгский переулок,420006
Выборная улица,420076
Выгонная улица,420030
Высокогорская улица,420056
Высотная улица,420087
Вьюжная улица,420076
Вяземская улица,420075
Улица Вязовая (Восточный),420129
Улица Габдрахмана Рафикова,420056
Улица Габдуллы Кариева,420081
Улица Габдуллы Рахимкулова,420070
Гаванская улица,420078
Гаванский переулок,420078
Улица Гавриила Державина,420076
Улица Гагарина (Новая Сосновка),420071
Улица Гагарина (Отары),420005
Улица Газовая (Щербаково),420099
Газовая 2-я улица,420049
Газонная 1-я улица,420105
Газонная 2-я улица,420105
Улица Гайдара,420105
Улица Галактионова,420015
Улица Гали Динмухаметова,420140
Улица Галиаскара Камала (Кадышево),420099
Улица Галии Кайбицкой,420100
Гаражная 2-я улица,420054
Улица Гассара,420021
Улица Гастелло,420073
Улица Гафиатуллина,420047
Улица Гаяза Исхаки,420111
Улица Генерала Кобякова,420139
Улица Героев Хасана,420101
Героев Хасана 1-я улица,420101
Переулок Герцена,420078
Улица Гидростроя,420047
Гипсовая улица,420079
Территория гк Багратионовец-2,420000
Территория гк Нур,420000
Улица Главная (Кульсеитово),420096
Улица Гладилова,420032
Глазовская улица,420004
Улица Глазунова,420054
Улица Глинки,420036
Глубинная улица,420077
Улица Гоголя,420015
Улица Голубятникова,420094
Гомельская улица,420037
Улица Гончарова,420032
Улица Горбунова,420047
Улица Гори,420047
Горийская улица,420054
Горная улица,420101
Горный переулок,420043
Городская улица,420039
Горсоветская улица,420034
Улица Горьковское Шоссе,420004
Улица Горького,420015
Гостеприимный проезд,420129
Улица Гостиница аэропорта,420017
Гранатовый переулок,420070
Грачиная улица,420140
Улица Грибная (Петровский),420070
Улица Грибоедова,420105
Гривская улица,420066
Улица Груздева,420012
Грузовая улица,420032
Грунтовая улица,420054
Грушевый переулок,420079
Территория ГСК Азино,420073
Территория ГСК Алга,420000
Территория ГСК Восток,420076
Территория ГСК Казанка (Абжалилова),420097
Территория ГСК Скиф,420005
Территория ГСК Сокол-98,420000
Территория ГСК Химик-2,420004
Улица Гузель,420076
Улица Гульшат Зайнашевой,420055
Улица Гумера Баширова,420079
Улица Гумера Гали,420055
Давликеевская 1-я улица,420055
Давликеевская 10-я улица,420055
Давликеевская 11-я улица,420055
Давликеевская 12-я улица,420055
Давликеевская 13-я улица,420055
Давликеевская 2-я улица,420055
Давликеевская 4-я улица,420055
Давликеевская 5-я улица,420055
Давликеевская 6-я улица,420055
Давликеевская 7-я улица,420055
Давликеевская 8-я улица,420055
Дальне-Кабанная улица,420054
Дальневосточная улица,420101
Дальний переулок,420129
Дальняя улица,420059
Улица Данлы (Алтан),420129
Даурская 2-я улица,420087
Улица Даутовой,420005
Улица Дачная (Кульсеитово),420096
Улица Дачная (Приволжский р-н),420005
Улица Дачная (Щербаково),420099
Дачный переулок,420077
Двинская улица,420101
Улица Девятаева,420108
Улица Дегтярева,420054
Улица Дежнева,420102
Деловая улица,420032
Улица Дементьева,420127
Улица Демьяна Бедного,420097
Улица Дениса Давыдова,420047
Депутатская улица,420101
Территория Деревня Универсиады,420010
Десятидворная улица,420054
Детский проезд,420055
Улица Джалиловцев,420056
Улица Джамбула,420047
Улица Джапаридзе,420047
Улица Джаудата Файзи,420025
Улица Дзержинского,420111
Дивизионная улица,420140
Дивный переулок,420140
Улица Динамо,420056
Улица Дмитрия Менделеева,420140
Улица Дмитрия Строганова,420056
Днепропетровская улица,420101
Улица Добролюбова,420047
Добротная улица,420140
Улица Доватора,420054
Улица Докучаева,420054
Долинная улица,420097
Улица Домрачевых,420055
Донецкая улица,420037
Улица Дорожная (Киндери),420075
Улица Дорожная (Нагорный),420056
Улица Дорожная (Новая Сосновка),420056
Улица Дорожная (Отары),420005
Дренажная улица,420066
Улица Дружбы,420029
Дружинная улица,420034
Дружный переулок,420078
Улица Дубинина,420047
Улица Дубравная (Вознесенское),420140
Улица Дубровая (Петровский),420070
Улица Дубровка (Нагорный),420056
Дубъязская улица,420078
Дудинская улица,420054
Улица Дулата Али,420108
Улица Дулкын (Кульсеитово),420096
Улица Дуслар (Вознесенское),420140
Переулок Дуслык,420025
Улица Дуслык,420025
Улица Дэрдменда,420129
Улица Дэртле,420140
Улица Евгения Баратынского,420076
Улица Единения (Салмачи),420129
Ежевичная улица,420076
Елабужская 1-я улица,420054
Елабужская 2-я улица,420054
Еловая улица,420079
Улица Еловая (Новая Сосновка),420056
Улица Ермоловой,420047
Улица Жаворонковая (Вознесенское),420140
Желатиновая улица,420006
Железноводская улица,420055
Железнодорожная улица,420105
Улица Железнодорожников,420078
Железнодорожный переулок,420079
Улица Желябова,420036
Улица Жемчужная (Салмачи),420129
Жигулевская улица,420047
Территория Жилгородок Мостотряд-3,420051
Жилищная улица,420094
Улица Жимешле (Плодопитомник),420139
Улица Жуковка,420030
Улица Жуковского,420015
Улица Журавлино (Кульсеитово),420096
Переулок Заботина,420036
Улица Заботина,420036
Улица Заветная (Алтан),420129
Переулок Заветный (Алтан),420129
Заводская улица,420021
Улица Заводская (Борисоглебское),420098
Улица Заводская (Московский р-н),420021
Заводская 1-я улица,420054
Завокзальная улица,420079
Улица Загитова,420139
Загородная улица,420005
Задне-Бойничная улица,420043
Задне-Борисковская улица,420054
Задне-Воскресенская улица,420054
Задне-Давликеевская улица,420054
Задне-Мостовая улица,420054
Улица Задорная (Петровский),420070
Заинская улица,420085
Займищенская улица,420077
Займищенский переулок,420077
Улица Зайни Султана,420021
Улица Зайцева,420108
Закамская улица,420097
Залесная улица,420076
Залесная 2-я улица,420076
Залесная 4-я улица,420076
Залесная 5-я улица,420076
Залесная 6-я улица,420076
Залесная 7-я улица,420076
Залесная 8-я улица,420076
Заливная улица,420032
Заовражная улица,420101
Заозерная улица,420083
Западная улица,420030
Запорожская улица,420054
Запрогонная улица,420079
Улица Заречная (Большие Дербышки),420096
Улица Заречная (Борисоглебское),420098
Улица Заречная (Вишневка),420129
Улица Заречная (Вознесенское),420140
Улица Заречная (Кадышево),420099
Улица Заречная (Малые Клыки),420025
Проспект Заречье,420076
Зарничная улица,420140
Улица Заря,420029
Улица Заслонова,420097
Улица Затлы,420138
Затонская улица,420079
Звездная улица,420079
Звездопадная улица,420129
Звениговская улица,420094
Звенигородская улица,420077
Улица Звонкая (Восточный),420129
Улица Зеленая (Борисоглебское),420098
Улица Зеленая (Кадышево),420099
Улица Зеленая (Константиновка),420083
Улица Зеленая (Кульсеитово),420096
Улица Зеленая (Щербаково),420099
Улица Зеленая 1-я (Салмачи),420129
Улица Зеленая 2-я (Салмачи),420129
Улица Зеленая 3-я (Салмачи),420129
Улица Зеленая 4-я (Салмачи),420129
Улица Зеленая 5-я (Салмачи),420129
Зеленый переулок,420078
Земледельческая улица,420055
Землемерная улица,420054
Землемерная 2-я улица,420054
Земляничная 1-я улица,420055
Земляничная 2-я улица,420055
Зенитная улица,420088
Зилантовская улица,420076
Зимняя улица,420076
Улица Зифа,420070
Улица Зифы Басыровой,420056
Улица Зои Космодемьянской,420111
Улица Ивана Кабушкина,420140
Улица Ивана Поддубного,420077
Улица Ивана Федорова,420091
Улица Иванычева,420098
Улица Ивовая (Борисоглебское),420098
Извилистая улица,420083
Извилистый переулок,420083
Измайловская улица,420094
Улица Изумрудная (Константиновка),420083
Улица Илхам,420075
Улица Ильича,420078
Улица Иман,420140
Переулок Иман (Вознесенское),420140
Улица Иминлек,420088
Улица Имянле,420064
Индустриальная улица,420036
Инструментальная улица,420075
Интернатная улица,420076
Улица Иовлева,420030
Ипподромная улица,420049
Улица Иркен,420140
Иртышская улица,420102
Улица Исаева,420039
Улица Исаева (Большие Дербышки),420096
Улица Исмаила Гаспринского,420021
Улица Итиль,420083
Ишимская улица,420037
Улица Йолдызлы,420076
Кавалерийская улица,420088
Улица Кави Наджми,420111
Кавказская улица,420076
Улица Кадышевская (Борисоглебское),420098
Улица Кадышевская (Щербаково),420099
Кадышевская 10-я улица,420132
Кадышевская 11-я улица,420132
Кадышевская 12-я улица,420132
Кадышевская 2-я улица,420132
Кадышевская 5-я улица,420132
Кадышевская 7-я улица,420132
Кадышевская 8-я улица,420132
Кадышевская 9-я улица,420132
Улица Каенсар (Алтан),420129
Казанская улица,420083
Улица Казансу (Кульсеитово),420096
Казахская улица,420030
Календарная улица,420055
Улица Калинина (Кадышево),420099
Калининградская 1-я улица,420101
Калининградская 2-я улица,420101
Калининградская 3-я улица,420101
Калининградская 4-я улица,420101
Улица Калиновая (Аки),420075
Улица Калиновского,420076
Калугинская улица,420032
Калужская улица,420105
Улица Камиля Якуба,420108
Улица Камская (Вознесенское),420140
Камчатская улица,420098
Улица Камышлы,420129
Канашская улица,420102
Канская улица,420054
Улица Карама (Алтан),420129
Улица Карамзина,420047
Улица Карачаровская (Вознесенье),420129
Переулок Кардашлек,420140
Улица Кардашлек (Вознесенское),420140
Карельская улица,420030
Улица Карла Фукса,420111
Переулок Карлыган,420070
Карпатская улица,420076
Карьерная улица,420053
Улица Карьерная (Киндери),420075
Катановский переулок,420012
Каучуковая улица,420054
Улица Качаклар,420025
Улица Качалова,420049
Каширская улица,420078
Улица Каюма Насыри,420021
Улица Кедровая (Плодопитомник),420139
Кедровый переулок,420079
Улица Кемеш,420076
Керченская улица,420037
Улица Кизляу,420129
Переулок Кирова,420111
Улица Кировская дамба,420111
Кирпичная улица,420073
Кисловодская улица,420005
Кисловодский переулок,420005
Улица Клары Цеткин,420030
Клеверная 1-я улица,420056
Клеверная 2-я улица,420056
Клеверная 3-я улица,420056
Клеверная 4-я улица,420056
Клеверная 5-я улица,420056
Клеверная 6-я улица,420056
Улица Кленовая (Константиновка),420083
Кленовая 1-я улица,420075
Кленовая 2-я улица,420075
Кленовая 3-я улица,420075
Улица Клубничная (Плодопитомник),420139
Улица Ключевая (Кульсеитово),420096
Ключищенская улица,420094
Кожевенная улица,420030
Коллективная улица,420044
Территория Коллективный сад N10 СНТ ОАО КМПО,422700
Территория СНТ Коллективный сад N14 КАПО им С.П.Горбунова,422700
Территория Коллективный сад N14 СНТ ОАО КМПО,422700
Территория Коллективный сад N2 СНТ ОАО КМПО,420000
Территория Коллективный сад N6 СНТ ОАО КМПО,422700
Территория Коллективный сад N7 СНТ ОАО КМПО,422700
Улица Колодезная (Кадышево),420099
Коломенская улица,420039
Колхозная улица,420098
Улица Колхозная (Борисоглебское),420098
Колымская улица,420078
Кольцевая улица,420036
Улица Комарова,420087
Комбайнерская улица,420108
Комбайнерская 2-я улица,420108
Комбинатская улица,420094
Улица Компрессорщиков (Новая Сосновка),420056
Улица Конечная (Петровский),420070
Улица Коновалова,420088
Кооперативная улица,420101
Улица Кооперативная (Большие Дербышки),420096
Улица Кооперативная (Малые Дербышки),420096
Улица Кооператоров,420077
Корабельная улица,420079
Короткий переулок,420075
Улица Коротченко,420111
Улица Космонавтов,420061
Костромская улица,420129
Улица Котовского,420085
Переулок Кочетов,420012
Улица Кояшлы (Петровский),420070
Краевая улица,420096
Красивая улица,420129
Красноармейский переулок,420076
Красноборская 1-я улица,420079
Красноборская 2-я улица,420079
Красноборская 3-я улица,420079
Красновидовская улица,420055
Красноводская улица,420054
Улица Красного Пожарника,420021
Улица Красного Химика,420030
Красногорская улица,420030
Краснодарская улица,420094
Краснодонский переулок,420047
Краснокамская улица,420047
Краснопресненская улица,420047
Красносельская улица,420066
Красноуральская улица,420059
Улица Красный Маяк,420095
Красочная улица,420076
Красочный переулок,420076
Красочный 1-й тупик,420076
Красочный 2-й тупик,420076
Кремлевская набережная,420111
Кремлевская улица,420111
Территория Кремль,420014
Крестьянская улица,420108
Кривая улица,420097
Улица Кривой Овраг,420097
Криворожская улица,420077
Кристальная улица,420088
Круговая улица,420056
Крутая улица,420100
Крутовская улица,420054
Крылатская улица,420083
Улица Крылова,420087
Крымская улица,420105
Улица КСКа,420111
Кубанский переулок,420036
Куземетьевская улица,420078
Куземетьевская 1-я улица,420078
Куземетьевская 2-я улица,420078
Куземетьевская 3-я улица,420078
Куземетьевская 4-я улица,420078
Куземетьевская 5-я улица,420078
Кузнечная улица,420097
Кузнечный переулок,420101
Кузнечный переулок,420101
Кукушкинская улица,420005
Улица Кул Гали,420141
Кулагинская улица,420088
Кулаевская улица,420055
Улица Кулибина,420101
Улица Кулле,420139
Улица Кульбаш (Петровский),420070
Улица Курай,420099
Улица Курашова,420012
Куркачинская улица,420056
Улица Курчатова,420087
Улица Кутузова,420047
Кутузовский переулок,420047
Кызыл Армейская улица,420030
Улица Кызыл Татарстан,420108
Улица Кызыл Яр,420055
Улица Кырлай,420076
Лавровый переулок,420140
Лагерная улица,420030
Ладожская 1-я улица,420055
Ладожская 2-я улица,420055
Улица Лазарева,420033
Лазурная улица,420064
Лаишевская улица,420079
Ландышевая улица,420076
Ландышевый переулок,420076
Улица Латышских Стрелков,420087
Улица Лачын (Киндери),420075
Улица Лебедева,420054
Лебяжья улица,420033
Улица Леваневского,420085
Улица Левитана,420085
Улица Левченко,420006
Улица Лейсан,420129
Улица Лейтенанта Красикова,420078
Лениногорская улица,420094
Ленская улица,420034
Улица Лесгафта,420043
Улица Лесная (Большие Дербышки),420096
Улица Лесная (Голубое Озеро),420099
Улица Лесная (Константиновка),420083
Улица Лесная (Отары),420005
Улица Лесная (Петровский),420070
Улица Лесная (Плодопитомник),420139
Улица Лесная (Щербаково),420099
Лесной переулок,420076
Лесопарковая улица,420076
Лесопарковый переулок,420076
Лесопильная улица,420032
Летняя улица,420079
Лечебная улица,420036
Улица Лизы Чайкиной,420127
Линейная улица,420101
Улица Липатова,420075
Улица Липки,420139
Липовый переулок,420079
Улица Лиственная (Салмачи),420129
Лиственный переулок,420079
Улица Листопадная (Плодопитомник),420139
Улица Литвинова,420047
Улица Лобачевского,420111
Лодейная улица,420054
Локаторная улица,420056
Переулок Локаторный 1-й (Новая Сосновка),420056
Переулок Локаторный 2-й (Новая Сосновка),420056
Локомотивная улица,420054
Ломжинская улица,420140
Улица Ломоносова,420102
Улица Лосиная (Петровский),420070
Луганская улица,420047
Луговая улица,420098
Улица Луговая (Борисоглебское),420098
Улица Луговая (Вишневка),420129
Улица Луговая (Вознесенское),420140
Улица Луговая (Кировский р-н),420033
Улица Луговая (Красно-октябрьское лесн-во),420051
Улица Лукницкого,420032
Лунная улица,420078
Лучевая улица,420077
Львовская улица,420101
Люблинская улица,420054
Улица Любы Шевцовой,420036
Улица Лядова,420036
Магаданская улица,420105
Магаданская 2-я улица,420105
Улица Магистральная (Щербаково),420099
Магнитогорская улица,420054
Улица Мадлен (Новая Сосновка),420071
Улица Мазита Гафури,420108
Майкопская улица,420077
Улица Майкопская (Калининский),420054
Майская улица,420059
Майский переулок,420059
Улица Макаренко,420073
Маковая улица,420070
Малахитовая улица,420083
Улица Малая (Салмачи),420129
Малая Дорожная улица,420056
Улица Малая Заречная (Борисоглебское),420099
Малая Кабанная улица,420054
Малая Красная улица,420015
Улица Малая Мухаметшина,420033
Малая Набережная улица,420005
Малая Осенняя улица,420056
Малая Печерская улица,420127
Малая Слободская улица,420097
Маленькая улица,420061
Малиновая улица,420075
Мало-Кузнечный переулок,420101
Мало-Московская улица,420030
Мало-Отарская улица,420005
Улица Мало-Пугачевский овраг,420097
Малый переулок,420129
Мамадышская улица,420100
Улица Мамина-Сибиряка,420085
Улица Марины Расковой,420073
Улица Маркина,420036
Улица Марселя Салимжанова,420107
Марсовая улица,420049
Улица Маршала Говорова,420047
Маршальская улица,420105
Маршрутная улица,420004
Улица Масгута Латыпова,420097
Улица Мастеров,420076
Улица Матроса Железняка,420059
Улица Матросова,420073
Переулок Матур,420064
Улица Матюшинская (Петровский),420070
Улица Машинистов,420077
Улица Машиностроителей (Новая Сосновка),420056
Улица Маяковского,420012
Улица Медиков,420064
Медицинский 2-й переулок,420064
Медицинский 3-й переулок,420064
Улица Медовая (Киндери),420075
Международная улица,420077
Межевой переулок,420032
Мелекесская улица,420047
Мелитопольская улица,420055
Меридианная улица,420124
Улица Меридианная (Лесной городок),420064
Местная улица,420101
Улица Металлистов,420088
Улица Меховщиков,420108
Улица Мечтателей,420099
Милицейская улица,420030
Улица Милосердия (Восточный),420129
Улица Миляш (Красно-октябрьское лесн-во),420051
Улица Миляшле (Вознесенское),420140
Улица Миляшле (Константиновка),420083
Улица Минина,420047
Минская улица,420140
Минусинская улица,420079
Улица Мира (Салмачи),420129
Улица Мирас,420099
Миргородская улица,420055
Улица Мирсая Амира (Киндери),420075
Улица Миславского,420111
Улица Мифтахетдина Акмуллы,420129
Улица Михаила Коринфского,420083
Улица Михаила Миля,420127
Улица Михаила Худякова,420021
Улица Мичурина,420105
Переулок Мичурина (Киндери),420075
Улица Мичурина (Киндери),420075
Модельная улица,420054
Улица Можайского,420004
Можжевеловая улица,420064
Улица Моисеева,420091
Улица Молдавская (Кировский р-н),420076
Улица Молдавская (Приволжский р-н),420005
Молодежная улица,420127
Улица Молодежная (Новая Сосновка),420056
Улица Молодежная (Отары),420005
Улица Молодежная (Салмачи),420129
Улица Молодежная (Щербаково),420099
Молодежный переулок,420127
Молодецкая улица,420101
Молодецкий переулок,420101
Молодогвардейская улица,420078
Улица Молодости,420055
Монтажная улица,420094
Мостовая улица,420054
Улица Мостовиков (Новая Сосновка),420056
Моторная улица,420105
Музыкальная улица,420033
Улица Мулланура Вахитова,420034
Улица Мусы Джалиля,420111
Улица Мянгелек,420129
Набережная улица,420071
Улица Набережная (Аки),420075
Улица Набережная (Кировский р-н),420030
Улица Набережная (Кульсеитово),420096
Улица Набережная (Отары),420005
Улица Набережная Казанки,420111
Улица Наби Даули,420070
Улица Нагорная (Кадышево),420099
Улица Нагорная (Киндери),420075
Улица Нагорная (Новая Сосновка),420056
Надеждинская улица,420055
Улица Надежды Тимашовой,420055
Надпойменная улица,420055
Улица Назлы (Вознесенское),420140
Улица Наиля Юсупова,420076
Улица Наки Исанбета,420073
Наклонная улица,420140
Улица Намус (Салмачи),420129
Улица Наратлы (Новая Сосновка),420056
Улица Нардуган (Вознесенье),420140
Улица Нариманова,420021
Улица Наставников,420129
Насыпная улица,420032
Улица Натана Рахлина,420083
Улица Науруз (Красно-Октябрьское лесн-во),420051
Научный городок,420075
Улица Нахимовский Овраг,420097
Начальная улица,420075
Небесная улица,420075
Улица Невельского,420049
Улица Некрасова,420012
Нестеровская улица,420097
Улица Нестеровский Овраг,420097
Улица Нестеровский Спуск,420097
Улица Нигматуллина,421001
Нижнекамская улица,420054
Нижнекамская 2-я улица,420054
Нижнетагильская улица,420055
Нижнетагильский переулок,420055
Нижняя улица,420078
Нижняя Торфяная улица,420066
Низенькая улица,420012
Низовая улица,420102
Улица Николаева,420107
Улица Николая Заболоцкого,420129
Улица Николая Загоскина,420083
Улица Николая Столбова,420021
Улица Николая Фешина,420070
Улица Новаторов,420061
Улица Новая (Большие Дербышки),420096
Улица Новая (Борисоглебское),420098
Улица Новая (Кадышево),420099
Улица Новая (Салмачи),420129
Улица Новая (Щербаково),420099
Новгородская улица,420079
Новгородский переулок,420079
Улица Новинка,420055
Ново-Аракчинская улица,420079
Ново-Вахитовская улица,420021
Ново-Давликеевская улица,420055
Ново-Караваевская улица,420037
Ново-Квартальная улица,420066
Ново-Осиновская улица,420076
Ново-Осиновская 2-я улица,420076
Ново-Осиновская 3-я улица,420076
Ново-Песочная улица,420107
Ново-Пугачевская улица,420097
Ново-Светлая улица,420004
Ново-Слободская улица,420030
Ново-Юдинская улица,420077
Новороссийская улица,420077
Улица Новоселова,420076
Новосельская улица,420055
Новосельская 10-я улица,420055
Новосельская 12-я улица,420055
Новосельская 2-я улица,420055
Новосельская 3-я улица,420055
Новосельская 4-я улица,420055
Новосельская 5-я улица,420055
Новосельская 6-я улица,420055
Новосельская 7-я улица,420055
Новосельская 8-я улица,420055
Новосельская 9-я улица,420055
Новоселья улица,420100
Улица Новостройки,420079
Ногинская улица,420105
Улица Ноксинская (Константиновка),420083
Ноксинская 1-я улица,420053
Ноксинская 2-я улица,420053
Ноксинская 3-я улица,420053
Ноксинская 4-я улица,420053
Ноксинский переулок,420140
Переулок Ноксинский 1-й (Вознесенское),420140
Переулок Ноксинский 2-й (Вознесенское),420140
Переулок Ноксинский 4-й (Вознесенское),420140
Переулок Ноксинский 5-й (Вознесенское),420140
Переулок Ноксинский 6-й (Вознесенское),420140
Переулок Ноксинский 7-й (Вознесенское),420140
Улица Ноксинский Спуск,420140
